Country,CPI
Afghanistan,149.9
Albania,119.05
Algeria,151.36
Angola,261.73
Argentina,232.75
Armenia,129.18
Australia,119.8
Austria,118.06
Azerbaijan,156.32
The Bahamas,116.22
Bahrain,117.59
Bangladesh,179.68
Barbados,134.09
Belgium,117.11
Belize,105.68
Benin,110.71
Bhutan,167.18
Botswana,149.75
Brazil,167.4
Brunei,99.03
Bulgaria,114.42
Burkina Faso,106.58
Burundi,182.11
Ivory Coast,111.61
Cape Verde,110.5
Cambodia,127.63
Cameroon,118.65
Canada,116.76
Central African Republic,186.86
Chad,117.7
Chile,131.91
China,125.08
Colombia,140.95
Comoros,103.62
Congo,124.74
Costa Rica,128.85
Croatia,109.82
Cyprus,102.51
Czech Republic,116.48
Dem. Rep. Congo,133.85
Denmark,110.35
Djibouti,120.25
Dominican Rep.,135.5
Ecuador,124.14
Egypt,288.57
El Salvador,111.23
Eq. Guinea,124.35
Estonia,122.14
Ethiopia,143.86
Fiji,132.3
Finland,112.33
France,110.05
Gabon,122.19
The Gambia,172.73
Georgia,133.61
Germany,112.85
Ghana,268.36
Greece,101.87
Guatemala,142.92
Guinea,262.95
Guinea-Bissau,111.65
Guyana,116.19
Haiti,179.29
Honduras,150.34
Hungary,121.64
Iceland,129
India,180.44
Indonesia,151.18
Iran,550.93
Iraq,119.86
Ireland,106.58
Israel,108.15
Italy,110.62
Jamaica,162.47
Japan,105.48
Jordan,125.6
Kazakhstan,182.75
Kenya,180.51
Kuwait,126.6
Kyrgyzstan,155.68
Laos,135.87
Latvia,116.86
Lebanon,130.02
Lesotho,155.86
Liberia,223.13
Libya,125.71
Lithuania,118.38
Luxembourg,115.09
Madagascar,184.33
Malawi,418.34
Malaysia,121.46
Maldives,99.7
Mali,108.73
Malta,113.45
Mauritania,135.02
Mauritius,129.91
Mexico,141.54
Moldova,166.2
Mongolia,195.76
Montenegro,116.32
Morocco,111.07
Mozambique,182.31
Myanmar,168.18
Namibia,157.97
Nepal,188.73
Netherlands,115.91
New Zealand,114.24
Nicaragua,162.74
Niger,109.32
Nigeria,267.51
Norway,120.27
Oman,113.53
Pakistan,182.32
Panama,122.07
Papua New Guinea,155.99
Paraguay,143.82
Peru,129.78
Philippines,129.61
Poland,114.11
Portugal,110.62
Qatar,115.38
Romania,123.78
Russia,180.75
Rwanda,151.09
Saint Lucia,110.13
Saint Vincent and the Grenadines,109.67
Samoa,117.56
Saudi Arabia,118.4
Senegal,109.25
Serbia,144
Sierra Leone,234.16
Singapore,114.41
Slovakia,115.34
Slovenia,111.05
South Africa,158.93
South Korea,115.16
Spain,110.96
Sri Lanka,155.53
Sudan,1344.19
Suriname,294.66
Sweden,110.51
Switzerland,99.55
Syria,143.2
Tajikistan,148.57
Tanzania,187.43
Thailand,113.27
Timor-Leste,145.38
Togo,113.3
Tonga,121.09
Trinidad and Tobago,141.75
Tunisia,155.33
Turkey,234.44
Uganda,173.87
Ukraine,281.66
United Arab Emirates,114.52
United Kingdom,119.62
United States of America,117.24
Uruguay,202.92
Vanuatu,117.13
Venezuela,2740.27
Vietnam,163.52
Yemen,157.58
Zambia,212.31
Zimbabwe,105.51
